,Car code,Consumption load (KWH) per 100 km,The amount of residual load KWH,KWH energy storage power,Power supply generation capacity (KW),Power supply capacity KW,Ms data recording time,Electricity price per hour KW,Traffic situation,Time to reach power supply ms,Distance traveled Km,Maximum number of cars in a crowd (cars),Charging / discharging frequency,Consumption range per km,Charger standard,Battery Type,
,43047,53,547,600,1800,14400,73,396,smooth,13,35,140,2,1,1,Oxidation battery ‌ Vanadium reduction,
,42855,58,150,208,2288,18304,32,501,semi-heavy,16,49,124,1,2,1,Nickel-Cadmium battery,
,42777,60,60,120,840,6720,33,353,smooth,48,56,294,1,2,2,Nickel battery - metal hydride,
,43845,64,176,240,480,3840,57,549,heavy,57,78,203,1,1,2,Nickel-iron battery,
,43910,37,83,120,1560,12480,90,443,semi-heavy,22,56,240,2,1,3,Acid battery,
,43930,38,170,208,2496,19968,46,424,smooth,31,67,98,2,2,3,On-air battery,
,44470,71,529,600,1200,9600,107,508,semi-heavy,23,16,104,1,2,2,Aluminum battery - air,
,45162,80,128,208,1248,9984,95,272,smooth,59,54,259,1,2,3,Molten salt battery,
,44945,62,178,240,2400,19200,68,343,heavy,15,68,182,2,2,2,Zinc-bromine battery,
,45247,69,531,600,4200,33600,71,550,smooth,55,8,103,1,1,2,Oxidation battery ‌ Vanadium reduction,
,45590,65,55,120,360,2880,91,372,semi-heavy,38,76,160,2,1,1,Nickel-Cadmium battery,
,45488,23,217,240,1440,11520,79,248,smooth,18,61,23,1,2,3,Nickel battery - metal hydride,
,45199,59,241,300,600,4800,58,268,heavy,18,74,124,1,2,1,Nickel-iron battery,
,45206,23,181,204,1428,11424,109,354,smooth,24,29,54,1,2,1,Acid battery,
,45553,58,542,600,7800,62400,41,204,semi-heavy,35,22,72,1,2,2,On-air battery,
,45671,40,260,300,1200,9600,99,442,smooth,48,24,62,2,1,3,Aluminum battery - air,
,46623,38,82,120,240,1920,47,249,smooth,47,27,238,2,2,1,Molten salt battery,
,47813,25,215,240,1920,15360,74,412,heavy,40,66,256,2,1,2,Zinc-bromine battery,
,47333,49,159,208,2704,21632,115,285,smooth,49,49,146,2,2,1,Oxidation battery ‌ Vanadium reduction,
,48783,40,80,120,360,2880,33,301,semi-heavy,11,29,29,1,2,2,Nickel-Cadmium battery,
,48916,29,271,300,1800,14400,78,442,smooth,11,46,136,2,1,3,Nickel battery - metal hydride,
,48539,26,214,240,960,7680,92,426,heavy,47,63,261,2,2,2,Nickel-iron battery,
,48631,75,45,120,600,4800,49,527,semi-heavy,47,45,54,2,2,3,Acid battery,
,48634,72,528,600,9000,72000,64,237,smooth,57,58,79,1,1,1,On-air battery,
,49427,28,180,208,2704,21632,67,243,semi-heavy,36,26,89,1,2,3,Aluminum battery - air,
,50471,40,80,120,600,4800,46,440,smooth,42,5,168,2,1,3,Molten salt battery,
,51321,21,219,240,1680,13440,61,323,heavy,53,61,122,2,2,1,Zinc-bromine battery,
,52244,76,44,120,1920,15360,60,413,smooth,32,36,229,2,2,1,Oxidation battery ‌ Vanadium reduction,
,51846,75,133,208,2912,23296,96,302,semi-heavy,32,69,51,1,1,2,Nickel-Cadmium battery,
,52735,58,542,600,6000,48000,120,545,smooth,59,53,244,1,2,3,Nickel battery - metal hydride,
,54289,78,130,208,3120,24960,80,340,heavy,48,53,24,2,2,1,Nickel-iron battery,
,54768,61,179,240,1200,9600,53,531,smooth,30,45,260,1,2,3,Acid battery,
,54634,79,521,600,1200,9600,101,391,semi-heavy,12,73,59,1,1,3,On-air battery,
,64534,59,61,120,720,5760,65,225,smooth,47,59,133,1,1,3,Aluminum battery - air,
,55069,59,181,240,2640,21120,48,504,smooth,45,67,229,1,2,3,Molten salt battery,
,54744,58,242,300,2400,19200,64,325,heavy,21,8,58,1,2,1,Zinc-bromine battery,
,54298,49,155,204,3060,24480,59,514,smooth,56,60,31,1,1,3,Oxidation battery ‌ Vanadium reduction,
,54509,66,534,600,1200,9600,68,259,semi-heavy,47,14,298,1,2,3,Nickel-Cadmium battery,
,54236,67,233,300,4200,33600,52,420,smooth,16,14,126,1,2,3,Nickel battery - metal hydride,
,54433,23,97,120,600,4800,76,430,heavy,18,36,101,1,2,3,Nickel-iron battery,
,54872,22,218,240,480,3840,105,246,semi-heavy,35,20,196,1,1,2,Acid battery,
,55101,79,129,208,2496,19968,73,368,smooth,11,11,83,2,1,1,On-air battery,
,55329,80,40,120,480,3840,104,254,semi-heavy,44,20,47,2,1,1,Aluminum battery - air,
,56426,25,275,300,1800,14400,114,360,smooth,11,53,141,1,1,1,Molten salt battery,
,56290,39,201,240,1680,13440,43,217,heavy,39,24,235,1,2,1,Zinc-bromine battery,
,56551,25,95,120,360,2880,31,512,smooth,20,63,72,1,2,1,Oxidation battery ‌ Vanadium reduction,
,56400,60,540,600,2400,19200,109,269,semi-heavy,50,68,148,2,1,1,Nickel-Cadmium battery,
,57168,27,181,208,416,3328,98,239,smooth,53,31,285,1,2,1,Nickel battery - metal hydride,
,57397,64,56,120,1560,12480,41,491,heavy,14,39,56,1,1,1,Nickel-iron battery,
,57264,26,214,240,2640,21120,64,319,smooth,17,26,69,1,2,1,Acid battery,
,57415,53,67,120,1200,9600,38,421,semi-heavy,47,51,56,1,1,3,On-air battery,
,57674,52,156,208,2496,19968,47,470,smooth,28,42,274,1,1,3,Aluminum battery - air,
,58142,75,525,600,2400,19200,68,402,smooth,37,55,232,1,2,2,Molten salt battery,
,58889,40,168,208,1872,14976,73,408,heavy,23,32,94,1,2,2,Zinc-bromine battery,
,59608,33,207,240,2400,19200,54,347,smooth,49,9,285,1,2,2,Oxidation battery ‌ Vanadium reduction,
,59754,24,576,600,6000,48000,55,312,semi-heavy,11,67,176,1,2,3,Nickel-Cadmium battery,
,59610,25,95,120,1560,12480,35,273,smooth,38,25,266,2,1,1,Nickel battery - metal hydride,
,60410,76,164,240,3600,28800,76,327,heavy,14,46,265,2,1,1,Nickel-iron battery,
,59938,67,233,300,1800,14400,116,365,semi-heavy,41,48,287,1,1,3,Acid battery,
,60052,63,141,204,1428,11424,96,454,smooth,32,79,123,2,2,1,On-air battery,
,59568,78,522,600,2400,19200,31,438,semi-heavy,19,22,264,2,1,2,Aluminum battery - air,
,59281,24,276,300,1800,14400,57,288,smooth,30,50,233,1,2,2,Molten salt battery,
,59552,45,75,120,1920,15360,119,506,heavy,19,29,61,2,2,1,Zinc-bromine battery,
,61163,77,163,240,1680,13440,93,449,smooth,14,54,159,1,2,3,Oxidation battery ‌ Vanadium reduction,
,60675,48,160,208,624,4992,86,423,semi-heavy,25,54,193,2,1,2,Nickel-Cadmium battery,
,60002,49,71,120,1080,8640,93,390,smooth,60,72,83,1,1,2,Nickel battery - metal hydride,
,58727,37,263,300,3000,24000,100,372,heavy,55,34,138,2,1,1,Nickel-iron battery,
,58561,29,211,240,720,5760,94,438,smooth,26,67,69,1,2,2,Acid battery,
,59057,68,52,120,960,7680,61,377,semi-heavy,60,13,147,1,1,1,On-air battery,
,58962,25,575,600,3600,28800,105,293,smooth,39,8,52,2,1,2,Aluminum battery - air,
,58146,45,163,208,3328,26624,66,486,smooth,39,46,58,1,1,3,Molten salt battery,
,57491,43,77,120,840,6720,96,328,heavy,38,7,40,2,2,3,Zinc-bromine battery,
,57198,56,184,240,720,5760,44,293,smooth,52,22,279,2,1,2,Oxidation battery ‌ Vanadium reduction,
,57035,37,83,120,960,7680,70,206,semi-heavy,60,24,196,1,2,3,Nickel-Cadmium battery,
,58190,23,185,208,1664,13312,120,341,smooth,33,19,128,1,1,3,Nickel battery - metal hydride,
,59164,69,531,600,6600,52800,90,363,heavy,45,15,116,1,2,3,Nickel-iron battery,
,59117,60,148,208,1664,13312,58,404,semi-heavy,14,21,143,1,2,2,Acid battery,
,59401,63,177,240,2640,21120,104,436,smooth,24,36,234,1,1,2,On-air battery,
,59347,34,566,600,5400,43200,97,523,semi-heavy,43,21,35,2,2,3,Aluminum battery - air,
,60056,55,65,120,1200,9600,59,467,smooth,52,28,98,1,1,3,Molten salt battery,
,60964,30,210,240,720,5760,99,417,heavy,47,16,64,1,1,2,Zinc-bromine battery,
,62053,62,238,300,600,4800,106,372,smooth,29,41,245,1,1,1,Oxidation battery ‌ Vanadium reduction,
,61707,44,160,204,2040,16320,58,533,semi-heavy,28,11,255,1,1,3,Nickel-Cadmium battery,
,62904,43,557,600,7800,62400,42,418,smooth,36,45,191,2,2,3,Nickel battery - metal hydride,
,63010,20,280,300,3600,28800,91,250,heavy,18,52,133,2,2,1,Nickel-iron battery,
,63455,53,67,120,480,3840,112,398,smooth,58,25,113,1,1,3,Acid battery,
,64695,20,220,240,960,7680,115,241,semi-heavy,37,78,94,1,2,3,On-air battery,
,65328,73,135,208,2704,21632,98,229,smooth,17,50,72,1,2,2,Aluminum battery - air,
,65720,64,56,120,840,6720,39,411,smooth,18,64,296,1,2,2,Molten salt battery,
,66350,20,280,300,3900,31200,101,223,heavy,57,35,228,1,2,2,Zinc-bromine battery,
,66506,64,176,240,2400,19200,70,279,smooth,33,64,119,2,1,2,Oxidation battery ‌ Vanadium reduction,
,66662,28,92,120,1800,14400,67,309,semi-heavy,46,38,96,1,1,3,Nickel-Cadmium battery,
,66997,28,572,600,9000,72000,83,490,smooth,20,64,298,1,2,1,Nickel battery - metal hydride,
,67019,20,188,208,1456,11648,80,238,heavy,55,14,256,1,1,1,Nickel-iron battery,
,67505,78,42,120,240,1920,55,406,semi-heavy,23,35,149,1,1,3,Acid battery,
,68461,46,194,240,3600,28800,30,395,smooth,20,80,68,1,1,2,On-air battery,
,69703,48,72,120,960,7680,84,314,semi-heavy,34,8,116,1,2,1,Aluminum battery - air,
,70951,33,175,208,1664,13312,43,512,smooth,49,17,211,2,2,3,Molten salt battery,
,71471,68,532,600,3600,28800,104,355,heavy,21,30,139,2,2,3,Zinc-bromine battery,
,72766,22,186,208,1664,13312,111,282,smooth,50,30,229,2,2,1,Oxidation battery ‌ Vanadium reduction,
,74400,56,184,240,1920,15360,40,332,semi-heavy,54,22,127,2,1,3,Nickel-Cadmium battery,
,73335,37,563,600,8400,67200,107,242,smooth,53,65,76,2,1,2,Nickel battery - metal hydride,
,73636,75,45,120,1560,12480,72,360,heavy,30,33,59,2,1,1,Nickel-iron battery,
,72997,47,193,240,2640,21120,32,218,smooth,24,58,244,2,1,2,Acid battery,
,73030,39,261,300,2700,21600,35,298,semi-heavy,34,33,53,2,2,3,On-air battery,
,73549,60,144,204,2856,22848,88,472,smooth,38,71,178,1,2,2,Aluminum battery - air,
,72201,43,557,600,7200,57600,99,236,smooth,15,14,60,1,2,2,Molten salt battery,
,72215,46,254,300,900,7200,63,264,heavy,42,60,53,1,2,1,Zinc-bromine battery,
,73167,49,71,120,1200,9600,89,331,smooth,38,18,294,1,1,3,Oxidation battery ‌ Vanadium reduction,
,73553,33,207,240,3600,28800,57,502,semi-heavy,54,39,111,2,1,1,Nickel-Cadmium battery,
,73504,37,171,208,2704,21632,50,266,smooth,45,52,299,2,1,3,Nickel battery - metal hydride,
,73766,30,90,120,720,5760,98,520,heavy,29,32,140,1,2,3,Nickel-iron battery,
,73733,77,223,300,3300,26400,87,240,semi-heavy,47,34,29,1,1,1,Acid battery,
,74438,32,208,240,1440,11520,37,253,smooth,42,31,138,2,2,2,On-air battery,
,75868,57,63,120,1800,14400,32,357,semi-heavy,58,76,275,1,2,1,Aluminum battery - air,
,76959,67,533,600,4200,33600,38,429,smooth,37,78,114,1,1,1,Molten salt battery,
,77118,66,142,208,1248,9984,45,313,heavy,41,26,23,1,2,3,Zinc-bromine battery,
,76895,52,68,120,600,4800,50,302,smooth,39,7,33,2,1,2,Oxidation battery ‌ Vanadium reduction,
,76932,79,161,240,480,3840,36,233,semi-heavy,37,17,173,1,1,2,Nickel-Cadmium battery,
,77673,77,43,120,1320,10560,89,428,smooth,49,39,240,1,1,2,Nickel battery - metal hydride,
,77214,77,131,208,3328,26624,57,308,heavy,32,32,41,2,1,1,Nickel-iron battery,
,77328,29,571,600,5400,43200,100,515,smooth,18,6,231,2,2,2,Acid battery,
,78142,29,179,208,1040,8320,67,339,semi-heavy,38,50,66,1,1,2,On-air battery,
,78424,69,171,240,1680,13440,113,455,smooth,51,23,66,2,1,3,Aluminum battery - air,
,78874,37,563,600,4800,38400,76,210,smooth,33,68,52,1,2,1,Molten salt battery,
,80022,54,66,120,240,1920,66,537,heavy,55,80,299,1,1,3,Zinc-bromine battery,
,81186,23,217,240,480,3840,83,318,smooth,34,34,300,2,2,3,Oxidation battery ‌ Vanadium reduction,
,81549,45,255,300,3300,26400,80,372,semi-heavy,13,64,227,1,2,3,Nickel-Cadmium battery,
,82129,35,169,204,1020,8160,78,379,smooth,26,44,244,2,1,1,Nickel battery - metal hydride,
,83572,62,538,600,6600,52800,107,334,heavy,55,54,206,2,2,2,Nickel-iron battery,
,84384,49,251,300,2100,16800,82,464,semi-heavy,14,15,141,2,2,2,Acid battery,
,83706,74,46,120,1680,13440,88,306,smooth,13,64,152,2,2,3,On-air battery,
,83775,37,203,240,2880,23040,48,538,semi-heavy,60,33,151,2,1,1,Aluminum battery - air,
,84211,20,188,208,1872,14976,76,359,smooth,14,37,170,1,1,1,Molten salt battery,
,84659,52,68,120,1560,12480,35,389,heavy,31,37,142,2,2,2,Zinc-bromine battery,
,85149,32,268,300,3900,31200,54,463,smooth,10,47,23,1,2,1,Oxidation battery ‌ Vanadium reduction,
,85310,52,188,240,480,3840,61,351,semi-heavy,13,60,291,2,2,3,Nickel-Cadmium battery,
,85962,63,57,120,1560,12480,106,425,smooth,16,53,213,2,2,1,Nickel battery - metal hydride,
,86511,49,551,600,1200,9600,85,411,heavy,14,25,227,2,2,1,Nickel-iron battery,
,85691,62,146,208,3328,26624,115,261,smooth,15,52,294,2,1,2,Acid battery,
,87024,51,69,120,1800,14400,58,293,semi-heavy,27,40,180,1,2,2,On-air battery,
,88112,49,191,240,3360,26880,105,217,smooth,13,65,256,1,2,1,Aluminum battery - air,
,87646,45,75,120,960,7680,54,402,smooth,40,28,57,2,2,3,Molten salt battery,
,87726,49,159,208,2080,16640,114,394,heavy,12,22,252,1,2,1,Zinc-bromine battery,
,86957,44,556,600,3600,28800,115,211,smooth,44,29,264,2,2,2,Oxidation battery ‌ Vanadium reduction,
,87015,75,133,208,624,4992,109,244,semi-heavy,56,67,259,1,1,2,Nickel-Cadmium battery,
,88113,28,212,240,960,7680,85,388,smooth,20,73,76,1,1,1,Nickel battery - metal hydride,
,88190,39,561,600,6000,48000,96,437,heavy,26,68,65,2,1,1,Nickel-iron battery,
,87691,67,53,120,840,6720,111,299,semi-heavy,55,60,178,2,2,3,Acid battery,
,87425,31,209,240,1440,11520,84,247,smooth,13,78,155,1,1,2,On-air battery,
,87451,32,268,300,4200,33600,113,488,semi-heavy,16,26,266,2,2,1,Aluminum battery - air,
,88313,31,173,204,1632,13056,115,374,smooth,13,69,60,2,1,2,Molten salt battery,
,88926,60,540,600,3000,24000,49,268,heavy,55,18,78,2,2,2,Zinc-bromine battery,
,89500,74,226,300,2400,19200,114,229,smooth,14,68,150,1,1,2,Oxidation battery ‌ Vanadium reduction,
,89355,54,66,120,840,6720,100,496,semi-heavy,24,18,224,2,2,1,Nickel-Cadmium battery,
,88749,48,192,240,2160,17280,82,310,smooth,56,64,156,1,2,3,Nickel battery - metal hydride,
,88045,48,160,208,624,4992,38,335,heavy,52,66,209,2,2,2,Nickel-iron battery,
,87792,33,87,120,1320,10560,48,478,smooth,30,51,274,1,2,2,Acid battery,
,85404,52,248,300,4800,38400,97,244,semi-heavy,33,46,213,1,2,3,On-air battery,
,87112,66,174,240,3600,28800,64,312,smooth,49,25,109,2,1,1,Aluminum battery - air,
,87102,74,46,120,240,1920,79,216,smooth,27,35,211,2,2,1,Molten salt battery,
,85700,41,559,600,3000,24000,53,281,heavy,17,69,91,1,1,1,Zinc-bromine battery,
,84973,30,178,208,2912,23296,88,444,smooth,28,58,280,1,2,1,Oxidation battery ‌ Vanadium reduction,
,83641,54,66,120,1800,14400,44,345,semi-heavy,30,49,271,1,1,2,Nickel-Cadmium battery,
,83252,33,207,240,3840,30720,56,465,smooth,58,27,132,1,1,2,Nickel battery - metal hydride,
,82028,73,47,120,240,1920,115,218,heavy,43,66,159,2,1,1,Nickel-iron battery,
,82670,48,160,208,2080,16640,42,547,semi-heavy,21,7,115,1,2,1,Acid battery,
,81905,52,548,600,5400,43200,111,464,smooth,49,60,37,1,1,2,On-air battery,
,80861,42,166,208,1456,11648,48,286,semi-heavy,24,70,224,2,2,3,Aluminum battery - air,
,81644,62,178,240,480,3840,120,285,smooth,10,38,33,1,2,3,Molten salt battery,
,82797,33,567,600,5400,43200,81,547,heavy,55,52,254,2,1,1,Zinc-bromine battery,
,84164,68,52,120,600,4800,60,404,smooth,44,69,28,2,1,3,Oxidation battery ‌ Vanadium reduction,
,83606,25,215,240,2640,21120,77,386,semi-heavy,14,53,169,1,1,2,Nickel-Cadmium battery,
,83165,55,245,300,1200,9600,82,291,smooth,27,36,38,1,2,1,Nickel battery - metal hydride,
,83170,71,133,204,2652,21216,73,232,heavy,56,46,217,1,2,3,Nickel-iron battery,
,82214,24,576,600,9600,76800,100,261,smooth,14,55,45,2,2,3,Acid battery,
,81066,32,268,300,2700,21600,42,303,semi-heavy,20,47,211,1,2,3,On-air battery,
,80949,79,41,120,1560,12480,77,300,smooth,12,78,103,2,2,2,Aluminum battery - air,
,80240,20,220,240,2400,19200,61,470,smooth,36,68,146,1,2,2,Molten salt battery,
,79136,43,165,208,1456,11648,98,202,heavy,26,43,112,1,1,1,Zinc-bromine battery,
,79153,41,79,120,1200,9600,100,293,smooth,27,68,98,2,2,3,Oxidation battery ‌ Vanadium reduction,
,79769,51,249,300,3000,24000,82,353,semi-heavy,59,58,79,1,1,3,Nickel-Cadmium battery,
,80603,38,202,240,3600,28800,32,340,smooth,31,50,99,2,1,2,Nickel battery - metal hydride,
,80435,33,87,120,720,5760,114,384,heavy,37,53,177,2,2,1,Nickel-iron battery,
,80986,45,555,600,8400,67200,33,348,semi-heavy,15,67,134,2,2,1,Acid battery,
,81325,43,165,208,1456,11648,66,517,smooth,26,11,136,1,1,2,On-air battery,
,81281,61,59,120,600,4800,39,333,semi-heavy,35,25,276,2,1,3,Aluminum battery - air,
,80849,49,191,240,1680,13440,43,353,smooth,21,74,288,1,1,3,Molten salt battery,
,80087,45,75,120,840,6720,94,221,heavy,32,48,201,2,1,3,Zinc-bromine battery,
,79785,74,134,208,2496,19968,77,486,smooth,16,19,257,1,1,3,Oxidation battery ‌ Vanadium reduction,
,80105,23,577,600,9600,76800,72,373,semi-heavy,31,32,23,2,2,2,Nickel-Cadmium battery,
,79584,60,148,208,624,4992,99,324,smooth,20,48,149,1,1,2,Nickel battery - metal hydride,
,78518,28,212,240,3840,30720,86,404,heavy,42,37,83,2,1,3,Nickel-iron battery,
,78072,67,533,600,3600,28800,101,277,smooth,12,80,182,2,1,3,Acid battery,
,78447,45,75,120,1320,10560,117,230,semi-heavy,21,50,226,1,1,3,On-air battery,
,78231,21,219,240,3120,24960,96,243,smooth,60,67,247,2,1,1,Aluminum battery - air,
,77515,79,221,300,600,4800,74,411,smooth,24,39,152,1,2,3,Molten salt battery,
,77218,76,128,204,1224,9792,46,307,heavy,34,20,161,1,1,1,Zinc-bromine battery,
,76582,50,550,600,4200,33600,76,521,smooth,57,45,295,1,1,1,Oxidation battery ‌ Vanadium reduction,
,76582,36,264,300,600,4800,31,463,semi-heavy,15,8,93,1,1,1,Nickel-Cadmium battery,
,77191,25,95,120,480,3840,37,463,smooth,10,9,106,2,2,2,Nickel battery - metal hydride,
,77816,52,188,240,3120,24960,75,510,heavy,15,31,160,2,1,2,Nickel-iron battery,
,78430,47,161,208,624,4992,116,333,semi-heavy,18,7,159,2,1,3,Acid battery,
,78968,42,78,120,1440,11520,47,426,smooth,55,80,152,1,2,2,On-air battery,
,79015,75,225,300,900,7200,38,402,semi-heavy,18,5,75,2,1,2,Aluminum battery - air,
,79013,55,185,240,960,7680,96,325,smooth,15,34,101,1,1,1,Molten salt battery,
,78619,37,83,120,840,6720,111,228,heavy,19,29,89,1,2,1,Zinc-bromine battery,
,78239,28,572,600,3000,24000,54,292,smooth,56,73,96,2,2,1,Oxidation battery ‌ Vanadium reduction,
,78469,52,156,208,1664,13312,113,353,semi-heavy,52,52,58,1,2,2,Nickel-Cadmium battery,
,78741,33,87,120,1560,12480,103,281,smooth,39,15,190,2,2,3,Nickel battery - metal hydride,
,78547,29,211,240,1680,13440,99,366,heavy,30,27,196,2,1,1,Nickel-iron battery,
,77634,44,76,120,480,3840,30,415,smooth,29,49,48,1,1,2,Acid battery,
,77418,35,173,208,1664,13312,94,346,semi-heavy,54,53,185,2,1,3,On-air battery,
,77817,42,558,600,3600,28800,95,449,smooth,36,17,23,1,1,2,Aluminum battery - air,
,77423,53,155,208,416,3328,46,267,smooth,12,53,226,1,2,2,Molten salt battery,
,76501,75,165,240,1200,9600,46,225,heavy,44,29,67,1,1,3,Zinc-bromine battery,
,74920,70,530,600,3600,28800,112,229,smooth,59,53,257,2,1,1,Oxidation battery ‌ Vanadium reduction,
,73973,61,59,120,840,6720,33,336,semi-heavy,31,36,117,2,2,2,Nickel-Cadmium battery,
,73847,77,163,240,2160,17280,58,216,smooth,56,36,263,2,2,3,Nickel battery - metal hydride,
,74161,32,268,300,3600,28800,107,438,heavy,10,62,71,2,2,2,Nickel-iron battery,
,73637,52,152,204,612,4896,112,218,semi-heavy,58,53,262,2,2,1,Acid battery,
,74160,23,577,600,8400,67200,111,300,smooth,22,53,143,2,2,2,On-air battery,
,75035,53,247,300,1200,9600,54,400,semi-heavy,18,66,44,2,1,2,Aluminum battery - air,
,75735,52,68,120,1560,12480,52,435,smooth,17,79,210,2,2,3,Molten salt battery,
,75980,71,169,240,1440,11520,65,344,heavy,58,48,155,2,2,1,Zinc-bromine battery,
,77404,44,164,208,832,6656,75,268,smooth,55,56,154,1,2,3,Oxidation battery ‌ Vanadium reduction,
,77923,73,47,120,1800,14400,108,253,semi-heavy,50,65,114,1,1,3,Nickel-Cadmium battery,
,78131,23,277,300,900,7200,84,379,smooth,37,68,243,2,2,3,Nickel battery - metal hydride,
,78151,71,169,240,720,5760,102,430,heavy,49,58,269,2,1,2,Nickel-iron battery,
,78164,24,96,120,840,6720,69,353,smooth,45,64,279,1,2,1,Acid battery,
,77939,58,542,600,8400,67200,106,502,semi-heavy,17,24,111,1,1,1,On-air battery,
,77569,54,154,208,2912,23296,33,200,smooth,43,22,288,1,1,2,Aluminum battery - air,
,77763,31,89,120,600,4800,96,543,smooth,13,40,217,2,2,1,Molten salt battery,
,77717,79,161,240,720,5760,111,340,heavy,56,47,76,1,1,3,Zinc-bromine battery,
,77753,34,86,120,600,4800,57,339,smooth,56,69,27,2,2,2,Oxidation battery ‌ Vanadium reduction,
,77931,45,163,208,416,3328,73,350,semi-heavy,19,36,133,2,1,1,Nickel-Cadmium battery,
,77734,43,557,600,4800,38400,38,323,smooth,23,12,152,1,2,1,Nickel battery - metal hydride,
,77596,34,174,208,1248,9984,102,466,heavy,30,12,280,2,1,1,Nickel-iron battery,
,77610,43,197,240,720,5760,87,390,semi-heavy,20,36,97,1,2,1,Acid battery,
,76901,53,547,600,1200,9600,112,247,smooth,37,73,168,2,2,2,On-air battery,
,76981,33,87,120,960,7680,96,398,semi-heavy,60,66,276,2,1,1,Aluminum battery - air,
,76528,62,178,240,3120,24960,114,397,smooth,39,74,101,2,1,3,Molten salt battery,
,76634,34,266,300,4500,36000,79,464,heavy,35,11,81,1,1,2,Zinc-bromine battery,
,76767,58,146,204,612,4896,33,334,smooth,49,35,62,1,2,3,Oxidation battery ‌ Vanadium reduction,
,76703,76,524,600,7800,62400,31,498,semi-heavy,42,55,253,2,1,2,Nickel-Cadmium battery,
,76394,46,254,300,3900,31200,101,278,smooth,53,12,47,1,1,3,Nickel battery - metal hydride,
,76212,67,53,120,960,7680,75,448,heavy,45,66,243,1,1,3,Nickel-iron battery,
,76067,54,186,240,1920,15360,32,486,smooth,24,75,51,2,2,3,Acid battery,
,75687,64,144,208,3120,24960,41,236,semi-heavy,17,59,170,1,2,1,On-air battery,
,74543,65,55,120,1080,8640,30,409,smooth,36,49,105,2,1,2,Aluminum battery - air,
,74375,33,267,300,900,7200,51,201,smooth,12,13,201,2,1,3,Molten salt battery,
,75102,26,214,240,1440,11520,68,495,heavy,14,68,280,1,1,2,Zinc-bromine battery,
,75329,71,49,120,960,7680,53,232,smooth,25,39,183,2,1,2,Oxidation battery ‌ Vanadium reduction,
,75353,62,538,600,4800,38400,36,361,semi-heavy,47,58,261,1,2,3,Nickel-Cadmium battery,
,75240,50,158,208,1248,9984,30,308,smooth,20,37,268,2,1,3,Nickel battery - metal hydride,
,74386,28,92,120,1800,14400,42,545,heavy,14,42,29,1,2,1,Nickel-iron battery,
,74499,31,209,240,720,5760,60,455,semi-heavy,41,32,127,2,1,1,Acid battery,
,73516,75,45,120,1320,10560,104,488,smooth,33,36,27,1,2,2,On-air battery,
,72631,41,167,208,2080,16640,60,238,semi-heavy,60,8,33,1,2,1,Aluminum battery - air,
,72748,80,520,600,1200,9600,47,519,smooth,54,65,25,2,1,2,Molten salt battery,
,72638,29,179,208,832,6656,104,209,heavy,46,16,127,1,2,2,Zinc-bromine battery,
,72873,53,187,240,1920,15360,64,410,smooth,17,11,63,2,1,2,Oxidation battery ‌ Vanadium reduction,
,72969,44,556,600,5400,43200,41,392,semi-heavy,34,25,281,1,1,1,Nickel-Cadmium battery,
,72900,79,41,120,1920,15360,35,246,smooth,15,65,229,1,1,2,Nickel battery - metal hydride,
,72544,52,188,240,3120,24960,100,451,heavy,43,55,251,1,2,1,Nickel-iron battery,
,72344,47,253,300,2100,16800,113,253,smooth,52,68,125,1,2,2,Acid battery,
,72249,74,130,204,3060,24480,94,322,semi-heavy,10,76,206,1,1,2,On-air battery,
,71662,29,571,600,9600,76800,51,332,smooth,39,32,37,1,2,1,Aluminum battery - air,
,70970,27,273,300,4500,36000,78,346,smooth,59,49,271,1,2,3,Molten salt battery,
,70341,22,98,120,360,2880,52,207,heavy,40,41,173,1,2,2,Zinc-bromine battery,
,70423,44,196,240,480,3840,37,376,smooth,46,18,295,2,1,2,Oxidation battery ‌ Vanadium reduction,
,70876,70,138,208,1664,13312,96,324,semi-heavy,36,11,201,2,1,1,Nickel-Cadmium battery,
,72162,78,42,120,600,4800,58,468,smooth,17,58,181,1,2,1,Nickel battery - metal hydride,
,71960,52,248,300,2100,16800,87,547,heavy,14,20,234,2,1,1,Nickel-iron battery,
,71916,70,170,240,720,5760,77,369,semi-heavy,15,55,212,1,1,1,Acid battery,
,73025,33,87,120,1560,12480,78,413,smooth,47,9,59,1,1,1,On-air battery,
,73416,48,552,600,3000,24000,61,407,semi-heavy,29,41,95,2,1,2,Aluminum battery - air,
,73555,75,133,208,2704,21632,50,522,smooth,59,20,285,2,2,2,Molten salt battery,
,73226,64,56,120,1320,10560,113,345,heavy,60,79,180,2,1,1,Zinc-bromine battery,
,73347,48,192,240,2400,19200,41,244,smooth,22,61,150,2,2,3,Oxidation battery ‌ Vanadium reduction,
,73457,59,61,120,1200,9600,71,201,semi-heavy,60,27,212,2,1,2,Nickel-Cadmium battery,
,73754,43,165,208,2288,18304,62,501,smooth,11,9,84,2,1,1,Nickel battery - metal hydride,
,73750,50,550,600,6600,52800,50,326,heavy,15,78,293,2,1,3,Nickel-iron battery,
,73890,49,159,208,2080,16640,90,403,smooth,53,9,123,1,1,2,Acid battery,
,74526,65,175,240,3840,30720,71,453,semi-heavy,58,17,152,2,1,1,On-air battery,
,74841,54,546,600,4800,38400,105,214,smooth,52,67,92,2,1,3,Aluminum battery - air,
